    energy(EV)  epsilonX       epsilonY       epsilonZ
    0.121236473-5343.003005353-5343.002996665-5343.003007107
    0.181354709-2384.363863493-2384.363854581-2384.363865439
    0.241472946-1342.213142406-1342.213133415-1342.213144419
    0.301591182 -858.215867051 -858.215858023 -858.215869096
    0.361709419 -594.747870864 -594.747861816 -594.747872926
    0.421827655 -435.652058502 -435.652049441 -435.652060574
    0.481945892 -332.279515429 -332.279506360 -332.279517508
    0.542064128 -261.345632591 -261.345623517 -261.345634675
    0.602182365 -210.569409007 -210.569399928 -210.569411094
    0.662300601 -172.975666620 -172.975657537 -172.975668709
    0.722418838 -144.364333976 -144.364324891 -144.364336068
    0.782537074 -122.083713668 -122.083704581 -122.083715761
    0.842655311 -104.392767349 -104.392758260 -104.392769443
    0.902773547  -90.110044739  -90.110035648  -90.110046835
    0.962891784  -78.410932849  -78.410923757  -78.410934946
    1.023010020  -68.705704933  -68.705695839  -68.705707031
    1.083128257  -60.563559025  -60.563549930  -60.563561123
    1.143246493  -53.663841824  -53.663832727  -53.663843923
    1.203364729  -47.763881165  -47.763872066  -47.763883264
    1.263482966  -42.677264105  -42.677255005  -42.677266205
    1.323601202  -38.258855816  -38.258846714  -38.258857916
    1.383719439  -34.394269578  -34.394260476  -34.394271679
    1.443837675  -30.992337180  -30.992328076  -30.992339281
    1.503955912  -27.979639738  -27.979630633  -27.979641840
    1.564074148  -25.296477391  -25.296468284  -25.296479493
    1.624192385  -22.893859056  -22.893849948  -22.893861159
    1.684310621  -20.731225167  -20.731216057  -20.731227270
    1.744428858  -18.774703254  -18.774694143  -18.774705358
    1.804547094  -16.995754570  -16.995745457  -16.995756674
    1.864665331  -15.370109470  -15.370100356  -15.370111575
    1.924783567  -13.876916204  -13.876907088  -13.876918309
    1.984901804  -12.498045948  -12.498036830  -12.498048053
    2.045020040  -11.217508739  -11.217499619  -11.217510845
    2.105138277  -10.020941680  -10.020932559  -10.020943787
    2.165256513   -8.895132860   -8.895123736   -8.895134967
    2.225374749   -7.827541609   -7.827532484   -7.827543717
    2.285492986   -6.805767853   -6.805758726   -6.805769961
    2.345611222   -5.816914134   -5.816905005   -5.816916243
    2.405729459   -4.846802181   -4.846793050   -4.846804290
    2.465847695   -3.879217505   -3.879208372   -3.879219615
    2.525965932   -2.896692795   -2.896683660   -2.896694906
    2.586084168   -1.891762645   -1.891753507   -1.891764756
    2.646202405   -0.921359133   -0.921349994   -0.921361245
    2.706320641   -0.136525153   -0.136516011   -0.136527264
    2.766438878    0.332170929    0.332180072    0.332168819
    2.826557114    0.431068705    0.431077852    0.431066596
    2.886675351    0.332994591    0.333003740    0.332992482
    2.946793587    0.270461825    0.270470976    0.270459715
    3.006911824    0.360202176    0.360211328    0.360200064
    3.067030060    0.421136897    0.421146049    0.421134783
    3.127148297    0.617096232    0.617105386    0.617094117
    3.187266533    0.646731590    0.646740746    0.646729475
    3.247384770    0.548395224    0.548404384    0.548393108
    3.307503006    0.589198450    0.589207615    0.589196335
    3.367621242    0.406528804    0.406537972    0.406526688
    3.427739479    0.417301978    0.417311148    0.417299858
    3.487857715    0.599877811    0.599886983    0.599875692
    3.547975952    0.519543648    0.519552823    0.519541529
    3.608094188    0.554259928    0.554269107    0.554257807
    3.668212425    0.719815133    0.719824315    0.719813011
    3.728330661    0.940915721    0.940924906    0.940913599
    3.788448898    0.631779857    0.631789044    0.631777737
    3.848567134   -0.072668802   -0.072659611   -0.072670925
    3.908685371   -0.055753444   -0.055744248   -0.055755571
    3.968803607    0.534607973    0.534617172    0.534605845
    4.028921844    0.838754040    0.838763241    0.838751913
    4.089040080    0.664848751    0.664857955    0.664846624
    4.149158317    0.542522279    0.542531486    0.542520152
    4.209276553   -0.080012731   -0.080003520   -0.080014856
    4.269394790   -0.496388983   -0.496379767   -0.496391110
    4.329513026   -0.355915905   -0.355906685   -0.355918036
    4.389631263    0.022864873    0.022874096    0.022862741
    4.449749499   -0.192590392   -0.192581165   -0.192592522
    4.509867735   -0.670977716   -0.670968483   -0.670979845
    4.569985972   -0.630194864   -0.630185626   -0.630196994
    4.630104208   -0.947256394   -0.947247153   -0.947258522
    4.690222445   -1.641810249   -1.641801006   -1.641812380
    4.750340681   -2.068330959   -2.068321713   -2.068333092
    4.810458918   -2.358009544   -2.358000294   -2.358011677
    4.870577154   -2.353553744   -2.353544489   -2.353555879
    4.930695391   -1.888109964   -1.888100705   -1.888112102
    4.990813627   -1.413401940   -1.413392677   -1.413404079
    5.050931864   -1.238406228   -1.238396961   -1.238408365
    5.111050100   -1.319214690   -1.319205419   -1.319216829
    5.171168337   -1.052833436   -1.052824160   -1.052835578
    5.231286573   -0.646575445   -0.646566164   -0.646577587
    5.291404810   -0.789771403   -0.789762118   -0.789773544
    5.351523046   -1.165723182   -1.165713893   -1.165725324
    5.411641283   -1.166651963   -1.166642669   -1.166654105
    5.471759519   -1.493620477   -1.493611178   -1.493622619
    5.531877756   -1.962517988   -1.962508683   -1.962520134
    5.591995992   -1.838752394   -1.838743085   -1.838754544
    5.652114228   -1.483314784   -1.483305470   -1.483316934
    5.712232465   -1.228147026   -1.228137708   -1.228149176
    5.772350701   -1.019734475   -1.019725153   -1.019736627
    5.832468938   -0.873403031   -0.873393704   -0.873405184
    5.892587174   -0.920789655   -0.920780324   -0.920791810
    5.952705411   -0.956448516   -0.956439180   -0.956450672
    6.012823647   -0.961788002   -0.961778661   -0.961790160
    6.072941884   -0.924987067   -0.924977721   -0.924989226
    6.133060120   -0.992766168   -0.992756816   -0.992768328
    6.193178357   -1.084184117   -1.084174760   -1.084186278
    6.253296593   -0.998657511   -0.998648148   -0.998659673
    6.313414830   -0.866378718   -0.866369350   -0.866380881
    6.373533066   -0.675126609   -0.675117237   -0.675128774
    6.433651303   -0.465669917   -0.465660540   -0.465672083
    6.493769539   -0.439363313   -0.439353930   -0.439365479
    6.553887776   -0.723614871   -0.723605482   -0.723617038
    6.614006012   -0.862511281   -0.862501887   -0.862513451
    6.674124248   -0.821008857   -0.820999456   -0.821011027
    6.734242485   -0.787061110   -0.787051703   -0.787063282
    6.794360721   -0.580978003   -0.580968590   -0.580980177
    6.854478958   -0.248158175   -0.248148757   -0.248160350
    6.914597194   -0.023493026   -0.023483602   -0.023495202
    6.974715431    0.079915714    0.079925144    0.079913537
    7.034833667    0.104178884    0.104188320    0.104176705
    7.094951904   -0.010784136   -0.010774694   -0.010786317
    7.155070140   -0.191422856   -0.191413408   -0.191425038
    7.215188377   -0.232789674   -0.232780220   -0.232791857
    7.275306613   -0.045702031   -0.045692571   -0.045704216
    7.335424850    0.189106437    0.189115904    0.189104251
    7.395543086    0.269113495    0.269122969    0.269111308
    7.455661323    0.177969511    0.177978991    0.177967323
    7.515779559    0.172820529    0.172830016    0.172818339
    7.575897796    0.312285111    0.312294606    0.312282921
    7.636016032    0.460255469    0.460264971    0.460253277
    7.696134269    0.545424898    0.545434406    0.545422704
    7.756252505    0.573298211    0.573307727    0.573296016
    7.816370741    0.632505713    0.632515234    0.632503515
