# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000057361    0.000057361    0.000057361
    0.041078156    0.002356947    0.002356947    0.002356947
    0.081156313    0.004660418    0.004660418    0.004660418
    0.121234469    0.006971581    0.006971581    0.006971581
    0.161312625    0.009294284    0.009294284    0.009294283
    0.201390782    0.011632428    0.011632428    0.011632427
    0.241468938    0.013989992    0.013989992    0.013989991
    0.281547094    0.016371052    0.016371052    0.016371051
    0.321625251    0.018779801    0.018779801    0.018779800
    0.361703407    0.021220571    0.021220571    0.021220570
    0.401781563    0.023697862    0.023697862    0.023697860
    0.441859719    0.026216359    0.026216359    0.026216358
    0.481937876    0.028780969    0.028780969    0.028780968
    0.522016032    0.031396845    0.031396845    0.031396843
    0.562094188    0.034069421    0.034069421    0.034069419
    0.602172345    0.036804447    0.036804447    0.036804445
    0.642250501    0.039608032    0.039608032    0.039608030
    0.682328657    0.042486685    0.042486685    0.042486682
    0.722406814    0.045447364    0.045447364    0.045447362
    0.762484970    0.048497535    0.048497535    0.048497532
    0.802563126    0.051645229    0.051645229    0.051645226
    0.842641283    0.054899115    0.054899115    0.054899112
    0.882719439    0.058268575    0.058268575    0.058268572
    0.922797595    0.061763798    0.061763798    0.061763795
    0.962875752    0.065395877    0.065395877    0.065395873
    1.002953908    0.069176925    0.069176925    0.069176922
    1.043032064    0.073120213    0.073120213    0.073120210
    1.083110220    0.077240316    0.077240316    0.077240313
    1.123188377    0.081553294    0.081553294    0.081553290
    1.163266533    0.086076891    0.086076891    0.086076887
    1.203344689    0.090830781    0.090830781    0.090830777
    1.243422846    0.095836838    0.095836838    0.095836833
    1.283501002    0.101119463    0.101119462    0.101119458
    1.323579158    0.106705968    0.106705968    0.106705963
    1.363657315    0.112627031    0.112627031    0.112627026
    1.403735471    0.118917231    0.118917231    0.118917226
    1.443813627    0.125615691    0.125615691    0.125615685
    1.483891784    0.132766850    0.132766850    0.132766845
    1.523969940    0.140421396    0.140421396    0.140421391
    1.564048096    0.148637393    0.148637393    0.148637387
    1.604126253    0.157481658    0.157481658    0.157481652
    1.644204409    0.167031462    0.167031462    0.167031456
    1.684282565    0.177376618    0.177376618    0.177376612
    1.724360721    0.188622099    0.188622099    0.188622093
    1.764438878    0.200891315    0.200891315    0.200891308
    1.804517034    0.214330263    0.214330263    0.214330256
    1.844595190    0.229112835    0.229112835    0.229112828
    1.884673347    0.245447652    0.245447652    0.245447644
    1.924751503    0.263586974    0.263586974    0.263586966
    1.964829659    0.283838435    0.283838435    0.283838427
    2.004907816    0.306580680    0.306580680    0.306580672
    2.044985972    0.332284486    0.332284486    0.332284477
    2.085064128    0.361541678    0.361541678    0.361541668
    2.125142285    0.395105347    0.395105347    0.395105337
    2.165220441    0.433946724    0.433946724    0.433946713
    2.205298597    0.479337099    0.479337099    0.479337088
    2.245376754    0.532968262    0.532968261    0.532968249
    2.285454910    0.597133537    0.597133536    0.597133523
    2.325533066    0.675006739    0.675006739    0.675006724
    2.365611222    0.771083806    0.771083805    0.771083788
    2.405689379    0.891903067    0.891903066    0.891903047
    2.445767535    1.047258193    1.047258193    1.047258169
    2.485845691    1.252309999    1.252309998    1.252309969
    2.525923848    1.531381511    1.531381510    1.531381473
    2.566002004    1.924929109    1.924929108    1.924929058
    2.606080160    2.502200370    2.502200369    2.502200298
    2.646158317    3.381365357    3.381365356    3.381365251
    2.686236473    4.741201648    4.741201647    4.741201491
    2.726314629    6.707540876    6.707540873    6.707540671
    2.766392786    8.841725203    8.841725196    8.841725038
    2.806470942    9.996332801    9.996332789    9.996332759
    2.846549098    9.793678622    9.793678608    9.793678659
    2.886627255    8.841466173    8.841466162    8.841466218
    2.926705411    8.017276290    8.017276281    8.017276313
    2.966783567    7.465930599    7.465930593    7.465930604
    3.006861723    7.269616678    7.269616674    7.269616662
    3.046939880    7.150832591    7.150832587    7.150832612
    3.087018036    6.461319658    6.461319654    6.461319732
    3.127096192    5.650093616    5.650093613    5.650093670
    3.167174349    5.369814924    5.369814922    5.369814928
    3.207252505    5.678288242    5.678288241    5.678288197
    3.247330661    6.394390364    6.394390364    6.394390289
    3.287408818    7.287972104    7.287972104    7.287972050
    3.327486974    7.570749122    7.570749121    7.570749155
    3.367565130    6.938486357    6.938486356    6.938486434
    3.407643287    6.209361258    6.209361256    6.209361310
    3.447721443    5.825225899    5.825225898    5.825225922
    3.487799599    5.557810750    5.557810749    5.557810781
    3.527877756    5.123853630    5.123853630    5.123853669
    3.567955912    4.888459128    4.888459130    4.888459148
    3.608034068    5.081749846    5.081749851    5.081749841
    3.648112224    5.345566454    5.345566461    5.345566432
    3.688190381    5.308454859    5.308454866    5.308454830
    3.728268537    5.350245888    5.350245893    5.350245858
    3.768346693    5.707207574    5.707207577    5.707207545
    3.808424850    6.014963658    6.014963659    6.014963638
    3.848503006    6.103978426    6.103978427    6.103978408
    3.888581162    6.256938431    6.256938431    6.256938409
    3.928659319    6.552163786    6.552163786    6.552163763
    3.968737475    7.056185259    7.056185258    7.056185242
    4.008815631    7.689866376    7.689866374    7.689866384
    4.048893788    8.385251662    8.385251660    8.385251674
    4.088971944    8.902312606    8.902312603    8.902312603
    4.129050100    8.908614045    8.908614041    8.908614027
    4.169128257    8.970481936    8.970481931    8.970481893
    4.209206413    9.522376245    9.522376238    9.522376201
    4.249284569    9.614069964    9.614069955    9.614069991
    4.289362725    8.330412625    8.330412617    8.330412702
    4.329440882    6.571900238    6.571900232    6.571900298
    4.369519038    5.337785383    5.337785379    5.337785403
    4.409597194    4.817676366    4.817676364    4.817676347
    4.449675351    4.865336595    4.865336594    4.865336550
    4.489753507    5.138768154    5.138768153    5.138768109
    4.529831663    5.324342483    5.324342483    5.324342446
    4.569909820    5.415051133    5.415051135    5.415051118
    4.609987976    5.210483208    5.210483209    5.210483238
    4.650066132    4.812927753    4.812927753    4.812927795
    4.690144289    4.586413426    4.586413426    4.586413446
    4.730222445    4.523149491    4.523149490    4.523149475
    4.770300601    4.550229057    4.550229056    4.550229019
    4.810378758    4.710078989    4.710078988    4.710078948
    4.850456914    4.885487618    4.885487616    4.885487588
