# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000004196    0.000004196    0.000004196
    0.041078156    0.000172391    0.000172391    0.000172391
    0.081156313    0.000340694    0.000340694    0.000340694
    0.121234469    0.000509212    0.000509212    0.000509212
    0.161312625    0.000678051    0.000678051    0.000678051
    0.201390782    0.000847319    0.000847319    0.000847319
    0.241468938    0.001017124    0.001017124    0.001017124
    0.281547094    0.001187577    0.001187577    0.001187577
    0.321625251    0.001358789    0.001358789    0.001358789
    0.361703407    0.001530875    0.001530875    0.001530875
    0.401781563    0.001703950    0.001703950    0.001703950
    0.441859719    0.001878134    0.001878134    0.001878134
    0.481937876    0.002053548    0.002053548    0.002053548
    0.522016032    0.002230319    0.002230319    0.002230319
    0.562094188    0.002408576    0.002408576    0.002408576
    0.602172345    0.002588454    0.002588453    0.002588453
    0.642250501    0.002770089    0.002770089    0.002770089
    0.682328657    0.002953628    0.002953628    0.002953628
    0.722406814    0.003139220    0.003139220    0.003139220
    0.762484970    0.003327021    0.003327021    0.003327021
    0.802563126    0.003517196    0.003517196    0.003517196
    0.842641283    0.003709916    0.003709915    0.003709916
    0.882719439    0.003905361    0.003905360    0.003905361
    0.922797595    0.004103721    0.004103720    0.004103721
    0.962875752    0.004305197    0.004305197    0.004305197
    1.002953908    0.004510001    0.004510001    0.004510001
    1.043032064    0.004718358    0.004718357    0.004718358
    1.083110220    0.004930507    0.004930506    0.004930507
    1.123188377    0.005146702    0.005146701    0.005146702
    1.163266533    0.005367216    0.005367215    0.005367216
    1.203344689    0.005592339    0.005592339    0.005592339
    1.243422846    0.005822385    0.005822384    0.005822385
    1.283501002    0.006057689    0.006057689    0.006057689
    1.323579158    0.006298615    0.006298614    0.006298614
    1.363657315    0.006545554    0.006545553    0.006545554
    1.403735471    0.006798932    0.006798931    0.006798932
    1.443813627    0.007059213    0.007059212    0.007059213
    1.483891784    0.007326902    0.007326901    0.007326901
    1.523969940    0.007602551    0.007602550    0.007602551
    1.564048096    0.007886770    0.007886769    0.007886770
    1.604126253    0.008180228    0.008180227    0.008180227
    1.644204409    0.008483666    0.008483665    0.008483665
    1.684282565    0.008797908    0.008797906    0.008797907
    1.724360721    0.009123872    0.009123871    0.009123872
    1.764438878    0.009462589    0.009462587    0.009462588
    1.804517034    0.009815217    0.009815215    0.009815216
    1.844595190    0.010183069    0.010183067    0.010183068
    1.884673347    0.010567639    0.010567638    0.010567638
    1.924751503    0.010970639    0.010970638    0.010970638
    1.964829659    0.011394042    0.011394041    0.011394042
    2.004907816    0.011840141    0.011840140    0.011840141
    2.044985972    0.012311621    0.012311620    0.012311621
    2.085064128    0.012811655    0.012811653    0.012811654
    2.125142285    0.013344026    0.013344025    0.013344026
    2.165220441    0.013913303    0.013913301    0.013913302
    2.205298597    0.014525062    0.014525061    0.014525062
    2.245376754    0.015186211    0.015186210    0.015186211
    2.285454910    0.015905436    0.015905434    0.015905435
    2.325533066    0.016693855    0.016693853    0.016693854
    2.365611222    0.017565988    0.017565987    0.017565988
    2.405689379    0.018541231    0.018541229    0.018541230
    2.445767535    0.019646170    0.019646168    0.019646169
    2.485845691    0.020918343    0.020918341    0.020918343
    2.525923848    0.022412544    0.022412543    0.022412544
    2.566002004    0.024211785    0.024211783    0.024211785
    2.606080160    0.026446953    0.026446952    0.026446953
    2.646158317    0.029332596    0.029332594    0.029332595
    2.686236473    0.033229491    0.033229489    0.033229490
    2.726314629    0.038728831    0.038728830    0.038728831
    2.766392786    0.046613229    0.046613228    0.046613229
    2.806470942    0.057104181    0.057104179    0.057104180
    2.846549098    0.068310283    0.068310281    0.068310282
    2.886627255    0.075631889    0.075631887    0.075631889
    2.926705411    0.074309813    0.074309811    0.074309813
    2.966783567    0.069146492    0.069146490    0.069146492
    3.006861723    0.067308085    0.067308083    0.067308085
    3.046939880    0.070774156    0.070774154    0.070774156
    3.087018036    0.079784308    0.079784306    0.079784308
    3.127096192    0.094343182    0.094343180    0.094343181
    3.167174349    0.114973039    0.114973037    0.114973038
    3.207252505    0.146327757    0.146327755    0.146327756
    3.247330661    0.192259715    0.192259712    0.192259714
    3.287408818    0.235458953    0.235458951    0.235458954
    3.327486974    0.234640480    0.234640478    0.234640483
    3.367565130    0.195285524    0.195285522    0.195285527
    3.407643287    0.158545482    0.158545480    0.158545483
    3.447721443    0.138250457    0.138250455    0.138250458
    3.487799599    0.132272612    0.132272610    0.132272612
    3.527877756    0.137541659    0.137541657    0.137541659
    3.567955912    0.153427326    0.153427324    0.153427325
    3.608034068    0.183001593    0.183001591    0.183001592
    3.648112224    0.233338847    0.233338844    0.233338846
    3.688190381    0.315592963    0.315592961    0.315592962
    3.728268537    0.437501899    0.437501897    0.437501897
    3.768346693    0.563919408    0.563919406    0.563919408
    3.808424850    0.593562592    0.593562590    0.593562596
    3.848503006    0.525436712    0.525436709    0.525436716
    3.888581162    0.466643399    0.466643396    0.466643402
    3.928659319    0.438404512    0.438404509    0.438404514
    3.968737475    0.388897607    0.388897604    0.388897610
    4.008815631    0.315515878    0.315515875    0.315515880
    4.048893788    0.257550445    0.257550442    0.257550446
    4.088971944    0.226238235    0.226238232    0.226238235
    4.129050100    0.217459064    0.217459061    0.217459064
    4.169128257    0.227937584    0.227937581    0.227937584
    4.209206413    0.259670911    0.259670908    0.259670910
    4.249284569    0.319784785    0.319784782    0.319784784
    4.289362725    0.412272652    0.412272649    0.412272650
    4.329440882    0.511009745    0.511009742    0.511009745
    4.369519038    0.565481276    0.565481273    0.565481277
    4.409597194    0.599349142    0.599349139    0.599349142
    4.449675351    0.640439274    0.640439271    0.640439274
    4.489753507    0.644188700    0.644188697    0.644188701
    4.529831663    0.630690515    0.630690512    0.630690515
    4.569909820    0.627207794    0.627207791    0.627207795
    4.609987976    0.566548963    0.566548960    0.566548965
    4.650066132    0.448142997    0.448142993    0.448142999
    4.690144289    0.344959296    0.344959292    0.344959297
    4.730222445    0.280190187    0.280190183    0.280190187
    4.770300601    0.246681088    0.246681085    0.246681088
    4.810378758    0.236442375    0.236442371    0.236442374
    4.850456914    0.245758801    0.245758798    0.245758800
    4.890535070    0.272341157    0.272341154    0.272341156
    4.930613226    0.307224160    0.307224157    0.307224159
    4.970691383    0.333793377    0.333793374    0.333793376
    5.010769539    0.362389098    0.362389095    0.362389097
    5.050847695    0.423856576    0.423856573    0.423856574
    5.090925852    0.519481745    0.519481742    0.519481742
    5.131004008    0.589467913    0.589467910    0.589467912
    5.171082164    0.583650887    0.583650883    0.583650886
    5.211160321    0.554292647    0.554292644    0.554292647
    5.251238477    0.521975744    0.521975740    0.521975744
    5.291316633    0.485097002    0.485096998    0.485097001
    5.331394790    0.456394629    0.456394625    0.456394628
    5.371472946    0.406994713    0.406994709    0.406994713
    5.411551102    0.338360760    0.338360756    0.338360760
    5.451629259    0.284677652    0.284677648    0.284677651
    5.491707415    0.255282245    0.255282241    0.255282244
    5.531785571    0.246100461    0.246100457    0.246100459
