wl	n
0.2100	1.243
0.2200	1.315
0.2300	1.404
0.2400	1.497
0.2500	1.567
0.2600	1.600
0.2700	1.598
0.2800	1.569
0.2900	1.522
0.3000	1.470
0.3100	1.428
0.3200	1.400
0.3300	1.379
0.3400	1.359
0.3500	1.338
0.3600	1.316
0.3700	1.297
0.3800	1.279
0.3900	1.263
0.4000	1.247
0.4100	1.229
0.4200	1.212
0.4300	1.196
0.4400	1.180
0.4500	1.167
0.4600	1.155
0.4700	1.142
0.4800	1.126
0.4900	1.110
0.5000	1.093
0.5100	1.073
0.5200	1.046
0.5300	1.002
0.5400	0.930
0.5500	0.825
0.5600	0.696
0.5700	0.565
0.5800	0.454
0.5900	0.376
0.6000	0.334
0.6100	0.317
0.6200	0.314
0.6300	0.317
0.6400	0.321
0.6500	0.326
0.6600	0.329
0.6700	0.332
0.6800	0.335
0.6900	0.339
0.7000	0.343
0.7100	0.347
0.7200	0.350
0.7300	0.354
0.7400	0.357
0.7500	0.360
0.7600	0.363
0.7700	0.367
0.7800	0.371
0.7900	0.377
0.8000	0.383
0.8100	0.390
0.8200	0.397
0.8300	0.403
0.8400	0.410
0.8500	0.416
0.8600	0.421
0.8700	0.425
0.8800	0.427
0.8900	0.431
0.9000	0.434
0.9100	0.437
0.9200	0.439
0.9300	0.441
0.9400	0.443
0.9500	0.443
0.9600	0.444
0.9700	0.445
0.9800	0.448
0.9900	0.454
1.0000	0.459
1.0097	0.463
1.0100	0.462
1.0300	0.462
1.0400	0.462
1.0500	0.464
1.0600	0.466
1.0700	0.468
1.0800	0.470
1.0900	0.474
1.1000	0.480
1.1100	0.487
1.1200	0.492
1.1300	0.496
1.1400	0.497
1.1500	0.499
1.1600	0.502
1.1700	0.503
1.1800	0.505
1.1900	0.509
1.2000	0.515
1.2100	0.522
1.2200	0.526
1.2300	0.528
1.2400	0.528
1.2500	0.532
1.2600	0.537
1.2700	0.543
1.2800	0.548
1.2900	0.553
1.3000	0.558
1.3100	0.563
1.3200	0.568
1.3314	0.572
1.3400	0.577
1.3500	0.581
1.3600	0.585
1.3700	0.589
1.3800	0.591
1.3900	0.593
1.4000	0.595
1.4100	0.597
1.4200	0.599
1.4300	0.600
1.4400	0.601
1.4500	0.602
1.4600	0.604
1.4700	0.608
1.4800	0.613
1.4900	0.618
1.5000	0.624
1.5100	0.630
1.5200	0.636
1.5300	0.639
1.5400	0.641
1.5500	0.642
1.5600	0.644
1.5700	0.648
1.5800	0.654
1.5900	0.659
1.6000	0.664
1.6100	0.669
1.6201	0.675
1.6300	0.681
1.6401	0.689
1.6500	0.695
1.6600	0.699
1.6700	0.703
1.6800	0.707
1.6900	0.710
1.7000	0.713
1.7100	0.716
1.7200	0.717
1.7300	0.718
1.7400	0.718
1.7500	0.718
1.7600	0.719
1.7700	0.720
1.7800	0.721
1.7900	0.722
1.8000	0.723
1.8100	0.724
1.8200	0.722
1.8300	0.721
1.8400	0.722
1.8500	0.727
1.8600	0.733
1.8700	0.739
1.8800	0.742
1.8900	0.742
1.9000	0.741
1.9100	0.741
1.9200	0.742
1.9300	0.745
1.9400	0.748
1.9500	0.750
1.9600	0.752
1.9700	0.754
1.9800	0.756
1.9900	0.759
2.0000	0.762
2.0100	0.766
2.0200	0.770
2.0300	0.775
2.0400	0.780
2.0500	0.785
2.0600	0.789
2.0700	0.793
2.0800	0.798
2.0900	0.802
2.1000	0.806
2.1100	0.811
2.1200	0.817
2.1300	0.823
2.1400	0.828
2.1500	0.832
2.1600	0.837
2.1700	0.843
2.1800	0.848
2.1900	0.854
2.2000	0.857
2.2100	0.863
2.2200	0.868
2.2300	0.874
2.2400	0.881
2.2500	0.885
2.2600	0.890
2.2700	0.895
2.2800	0.902
2.2900	0.908
2.3000	0.913
2.3100	0.919
2.3200	0.925
2.3300	0.930
2.3400	0.936
2.3500	0.941
2.3600	0.949
2.3700	0.954
2.3800	0.959
2.3900	0.965
2.4000	0.971
2.4100	0.975
2.4200	0.983
2.4300	0.988
2.4400	0.993
2.4500	0.998
2.4600	1.003
2.4700	1.008
2.4800	1.011
2.4900	1.018
2.5000	1.024
2.5063	1.029
2.5126	1.033
2.5189	1.038
2.5253	1.043
2.5316	1.048
2.5381	1.052
2.5445	1.056
2.5510	1.061
2.5575	1.065
2.5641	1.069
2.5707	1.074
2.5773	1.078
2.5840	1.082
2.5907	1.087
2.5974	1.091
2.6042	1.096
2.6110	1.100
2.6178	1.105
2.6247	1.109
2.6316	1.113
2.6385	1.118
2.6455	1.122
2.6525	1.127
2.6596	1.132
2.6667	1.137
2.6738	1.142
2.6810	1.147
2.6882	1.151
2.6954	1.156
2.7027	1.161
2.7100	1.167
2.7174	1.172
2.7248	1.178
2.7322	1.183
2.7397	1.188
2.7473	1.193
2.7548	1.198
2.7624	1.204
2.7701	1.210
2.7778	1.215
2.7855	1.221
2.7933	1.226
