lambda (um)	n_glass	kappa_glass
0.01	0.9874000000000001	0.0097
0.0102	0.9865	0.008500000000000001
0.0104	0.9851	0.0083
0.0106	0.9841	0.009599999999999999
0.0108	0.9848	0.009900000000000001
0.011	0.9844000000000001	0.008999999999999999
0.0112	0.9822	0.009299999999999999
0.0114	0.9828	0.0159
0.0116	0.9867	0.0106
0.0118	0.9858	0.0075
0.012	0.9839	0.0065
0.0122	0.9823	0.0068
0.0124	0.9813	0.007
0.0126	0.9802999999999999	0.0073
0.0128	0.9794	0.0076
0.013	0.9789	0.0076
0.0132	0.9778	0.0083
0.0134	0.977	0.008699999999999999
0.0136	0.9761	0.009299999999999999
0.0138	0.9747	0.0103
0.015	0.9634	0.0199
0.016	0.9608	0.0226
0.017	0.9562	0.0244
0.018	0.9509	0.0281
0.019	0.9458	0.0335
0.02	0.9416	0.0374
0.021	0.9386	0.0437
0.022	0.9328	0.0462
0.023	0.9271	0.052
0.024	0.9222	0.0578
0.025	0.9164	0.065
0.026	0.9105	0.0726
0.027	0.9207	0.068
0.028	0.9175	0.075
0.029	0.9137	0.082
0.03	0.913	0.09
0.031	0.907	0.092
0.032	0.901	0.094
0.033	0.895	0.098
0.034	0.888	0.107
0.035	0.882	0.113
0.036	0.877	0.12
0.037	0.87	0.128
0.038	0.866	0.137
0.039	0.858	0.144
0.04	0.851	0.156
0.041	0.845	0.169
0.042	0.839	0.18
0.043	0.833	0.19
0.044	0.827	0.202
0.045	0.822	0.218
0.046	0.8169999999999999	0.233
0.047	0.8129999999999999	0.25
0.048	0.8080000000000001	0.27
0.049	0.804	0.282
0.04959	0.733	0.325
0.05	0.803	0.3
0.051	0.804	0.322
0.05166	0.753	0.375
0.052	0.806	0.343
0.053	0.8110000000000001	0.366
0.05391	0.774	0.434
0.054	0.8169999999999999	0.385
0.055	0.822	0.408
0.056	0.829	0.43
0.05636	0.797	0.48
0.057	0.833	0.45
0.058	0.843	0.47
0.059	0.851	0.482
0.05904	0.827	0.53
0.06	0.862	0.497
0.06199	0.859	0.585
0.06358	0.879	0.613
0.06526	0.902	0.645
0.06701	0.927	0.677
0.06888	0.957	0.712
0.06985	0.975	0.731
0.07085	0.999	0.75
0.07187	1.03	0.763
0.07292999999999999	1.072	0.768
0.07402	1.124	0.765
0.07514	1.137	0.755
0.07630000000000001	1.156	0.737
0.07749	1.172	0.717
0.07872	1.178	0.703
0.07999000000000001	1.172	0.696
0.0813	1.167	0.699
0.08266	1.168	0.711
0.08405	1.175	0.739
0.08551	1.195	0.771
0.08699999999999999	1.225	0.799
0.08856	1.265	0.8080000000000001
0.09017	1.32	0.795
0.09184	1.363	0.775
0.09357	1.371	0.755
0.09537	1.368	0.747
