wl	n
0.3600	8.992
0.4000	10.350
0.4400	11.678
0.4800	12.710
0.5200	13.496
0.5600	13.908
0.6000	13.580
0.6400	12.938
0.6800	12.369
0.7200	11.905
0.7600	11.362
0.8000	10.662
0.8400	9.874
0.8800	9.065
0.9200	8.215
0.9600	7.142
1.0000	6.031
1.0400	5.026
1.0800	4.315
1.1200	3.948
1.1600	3.788
1.2000	3.770
1.2400	3.801
1.2800	3.863
1.3200	3.920
1.3600	3.922
1.4000	3.886
1.4400	3.825
1.4800	3.789
1.5200	3.803
1.5600	3.805
1.6000	3.821
1.6400	3.814
1.6800	3.801
1.7200	3.833
1.7600	3.847
1.8000	3.818
1.8400	3.714
1.8800	3.696
1.9200	3.650
1.9600	3.853
2.0000	4.052
2.0400	4.281
2.0800	4.508
2.1200	4.549
2.1600	4.806
2.2000	4.977
2.2400	5.152
2.2800	5.313
2.3200	5.414
2.3600	5.598
2.4000	5.632
2.4400	5.826
2.4800	6.075
2.5126	6.477
2.5381	6.458
2.5641	6.474
2.5907	6.494
2.6178	6.554
2.6455	6.613
2.6738	6.702
2.7027	6.794
2.7322	6.911
2.7624	7.037
2.7933	7.163
2.8249	7.277
2.8571	7.397
2.8902	7.529
2.9240	7.662
2.9586	7.803
2.9940	7.924
3.0303	8.063
3.0675	8.199
3.1056	8.377
3.1447	8.559
3.1847	8.735
3.2258	8.913
3.2680	9.045
3.3113	9.224
3.3557	9.431
3.4014	9.616
3.4483	9.775
3.4965	9.956
3.5461	10.123
3.5971	10.328
3.6496	10.578
3.7037	10.746
3.7594	11.000
3.8168	11.221
3.8760	11.501
3.9370	11.777
4.0000	12.160
4.0650	12.480
4.1322	12.774
4.2017	13.008
4.2735	13.354
4.3478	13.635
4.4248	13.946
4.5045	14.292
4.5872	14.857
4.6729	15.488
4.7619	16.161
4.8544	16.819
4.9505	17.530
5.0505	18.191
5.1546	18.797
5.2632	19.153
5.3763	19.457
5.4945	19.833
5.6180	20.370
5.7471	20.769
5.8824	21.377
6.0241	22.399
6.1728	23.028
6.3291	23.878
6.4935	24.991
6.6667	26.292
6.8493	27.290
7.0423	28.488
7.2464	29.970
7.4627	31.211
7.6923	31.694
7.9365	32.638
8.1967	33.695
8.4746	34.663
8.7719	35.672
9.0909	37.075
9.4340	39.401
9.8039	41.320
10.2041	43.876
10.6383	45.756
11.1111	47.782
11.6279	49.823
12.1951	51.232
12.8205	52.501
13.5135	53.742
14.2857	54.374
15.1515	55.875
16.1290	57.434
17.2414	58.885
18.5185	61.035
20.0000	64.014
21.7391	69.027
23.8095	70.156
26.3158	70.053
29.4118	69.476
33.3333	68.792
38.4615	67.508
45.4545	67.433
55.5556	73.813

wl	k
0.3600	6.001
0.4000	6.499
0.4400	6.325
0.4800	5.752
0.5200	5.090
0.5600	3.973
0.6000	2.849
0.6400	2.259
0.6800	2.039
0.7200	1.791
0.7600	1.538
0.8000	1.315
0.8400	1.271
0.8800	1.350
0.9200	1.421
0.9600	1.696
1.0000	2.260
1.0400	3.177
1.0800	4.337
1.1200	5.509
1.1600	6.582
1.2000	7.524
1.2400	8.361
1.2800	9.090
1.3200	9.720
1.3600	10.330
1.4000	10.865
1.4400	11.484
1.4800	12.112
1.5200	12.757
1.5600	13.337
1.6000	13.905
1.6400	14.498
1.6800	15.050
1.7200	15.633
1.7600	16.213
1.8000	16.712
1.8400	17.340
1.8800	17.946
1.9200	18.762
1.9600	19.480
2.0000	20.163
2.0400	20.700
2.0800	21.165
2.1200	21.713
2.1600	22.313
2.2000	22.876
2.2400	23.264
2.2800	23.788
2.3200	24.199
2.3600	24.711
2.4000	25.121
2.4400	25.784
2.4800	26.515
2.5126	26.476
2.5381	26.673
2.5641	26.922
2.5907	27.229
2.6178	27.553
2.6455	27.884
2.6738	28.229
2.7027	28.584
2.7322	28.943
2.7624	29.293
2.7933	29.619
2.8249	29.974
2.8571	30.342
2.8902	30.708
2.9240	31.076
2.9586	31.429
2.9940	31.804
3.0303	32.216
3.0675	32.624
3.1056	33.057
3.1447	33.480
3.1847	33.865
3.2258	34.293
3.2680	34.725
3.3113	35.147
3.3557	35.627
3.4014	36.060
3.4483	36.547
3.4965	37.009
3.5461	37.488
3.5971	38.085
3.6496	38.580
3.7037	39.111
3.7594	39.715
3.8168	40.288
3.8760	40.927
3.9370	41.558
4.0000	42.185
4.0650	42.726
4.1322	43.340
4.2017	43.986
4.2735	44.731
4.3478	45.405
4.4248	46.196
4.5045	47.102
4.5872	48.009
4.6729	48.904
4.7619	49.621
4.8544	50.436
4.9505	51.017
5.0505	51.668
5.1546	52.101
5.2632	52.638
5.3763	53.447
5.4945	54.558
5.6180	55.262
5.7471	56.505
5.8824	57.732
6.0241	58.979
6.1728	59.996
6.3291	61.254
6.4935	62.634
6.6667	63.629
6.8493	64.859
7.0423	65.919
7.2464	66.910
7.4627	67.433
7.6923	68.409
7.9365	69.591
8.1967	71.171
8.4746	72.269
8.7719	74.388
9.0909	76.542
9.4340	78.442
9.8039	80.128
10.2041	81.589
10.6383	82.396
11.1111	83.762
11.6279	84.687
12.1951	85.854
12.8205	87.426
13.5135	89.321
14.2857	91.935
15.1515	95.006
16.1290	99.041
17.2414	102.894
18.5185	108.579
20.0000	113.795
21.7391	119.715
23.8095	123.576
26.3158	130.486
29.4118	141.399
33.3333	158.015
38.4615	181.014
45.4545	219.672
55.5556	286.308
