lambda_um n_glass k_glass n_ag k_ag I
0.2066 1.543 0.0 1.036 1.59 1.2306999999999998e-21
0.213856 1.53429 0.0 1.1025968421052632 1.6705157894736842 1.2306999999999998e-21
0.214438 1.53371 0.0 1.1087997368421054 1.6758763157894736 1.2306999999999998e-21
0.226747 1.52276 0.0 1.2436428048780488 1.7660829268292684 1.2306999999999998e-21
0.230209 1.52009 0.0 1.2830588636363636 1.781384090909091 1.2306999999999998e-21
0.237833 1.51474 0.0 1.3714279545454544 1.7987113636363636 1.2306999999999998e-21
0.239938 1.51338 0.0 1.3927391666666666 1.7967958333333334 1.2306999999999998e-21
0.248272 1.50841 0.0 1.4716636893203883 1.7781514563106797 1.2306999999999998e-21
0.265204 1.50004 0.0 1.5249864285714285 1.685342857142857 1.2306999999999998e-21
0.269885 1.49805 0.0 1.5189670731707319 1.669060975609756 1.2306999999999998e-21
0.275278 1.49592 0.0 1.5044980487804878 1.6559073170731706 1.2306999999999998e-21
0.280347 1.49404 0.0 1.4908982926829268 1.6435439024390242 1.2306999999999998e-21
0.28936 1.49099 0.0 1.4486358208955226 1.64 1.6514700000000805e-09
0.296728 1.48873 0.0 1.4112567567567569 1.6482594594594593 8.295248000000029e-05
0.30215 1.48719 0.0 1.3837804054054057 1.6775675675675674 0.0033298299999999547
0.330259 1.48053 0.0 1.3303130386740332 1.8231237569060776 0.4489139799999992
0.334148 1.47976 0.0 1.3247266298342542 1.8360154696132598 0.42388551999999885
0.340365 1.47858 0.0 1.3157961325966852 1.8566243093922652 0.5010043000000001
0.34662 1.47746 0.0 1.3056256157635469 1.8787487684729065 0.48836280000000015
0.361051 1.47512 0.0 1.2771901477832512 1.9356197044334975 0.5191506399999996
0.365015 1.47453 0.0 1.2694750000000001 1.951657894736842 0.6254706999999984
0.404656 1.46961 0.0 1.2000818604651162 2.1630945736434106 1.1610760000000002
0.435835 1.46669 0.0 1.1725415254237288 2.3245847457627113 1.3459844999999968
0.467816 1.46429 0.0 1.1565286803519061 2.4627049853372434 1.5500135999999989
0.486133 1.46313 0.0 1.1447903526448362 2.523256926952141 1.2918824999999992
0.508582 1.46187 0.0 1.1272609068010075 2.5798035264483627 1.5588695999999977
0.546074 1.46008 0.0 0.9769382040816331 2.592846530612245 1.5305725999999982
0.576959 1.45885 0.0 0.6475476865671643 2.7046787313432836 1.5007871000000015
0.579065 1.45877 0.0 0.6194152985074622 2.721180970149254 1.4786250000000023
0.587561 1.45847 0.0 0.505923955223881 2.787754104477612 1.508633299999999
0.589262 1.45841 0.0 0.4832016417910459 2.801082835820895 1.3107529999999987
0.643847 1.45671 0.0 0.2293949079754602 3.5558653374233122 1.4471639000000003
0.656272 1.45637 0.0 0.21421310734463275 3.710490395480226 1.1998423999999968
0.667815 1.45608 0.0 0.21486525423728814 3.834398305084746 1.414112
0.706519 1.45515 0.0 0.21389944162436547 4.220893908629442 1.3115973999999997
0.852111 1.45248 0.0 0.27067586598935656 5.45747266569908 0.9687804900000001
0.89435 1.45185 0.0 0.2883520803096275 5.784431543299467 0.8380945000000014
1.01398 1.45025 0.0 0.3384149492017417 6.7104499274310605 0.7206186000000002
1.08297 1.44941 0.0 0.3672859458151911 7.244479922593131 0.5978778000000002
1.12866 1.44888 0.0 0.3864063376874698 7.5981519109821 0.10363676000000022
1.3622 1.44621 0.0 0.5570724193548388 9.360732258064518 6.312744608000001e-07
