lambda_um n_glass k_glass n_ag k_ag I
0.2066 1.543 0.0 1.618 1.3 0.011237000000000026
0.213856 1.53429 0.0 1.6122106382978725 1.3578936170212765 0.03559927999999996
0.214438 1.53371 0.0 1.6117462765957447 1.3625372340425532 0.03960343999999996
0.226747 1.52276 0.0 1.6050860619469027 1.461920353982301 0.03952844
0.230209 1.52009 0.0 1.6104475663716813 1.4925575221238938 0.05083668999999994
0.237833 1.51474 0.0 1.622254646017699 1.5600265486725662 0.04628216
0.239938 1.51338 0.0 1.6255146017699114 1.5786548672566372 0.0421227199999999
0.248272 1.50841 0.0 1.639339076923077 1.652510769230769 0.04789580000000006
0.265204 1.50004 0.0 1.7315088461538461 1.7902115384615385 0.2518119999999999
0.269885 1.49805 0.0 1.7643658653846153 1.812716346153846 0.24983399999999908
0.275278 1.49592 0.0 1.802220576923077 1.838644230769231 0.165665
0.280347 1.49404 0.0 1.8378010576923078 1.8630144230769232 0.09324075999999988
0.28936 1.49099 0.0 1.8925701492537315 1.8812835820895522 0.451630000000004
0.296728 1.48873 0.0 1.9340205405405404 1.8889675675675675 0.5090756000000001
0.30215 1.48719 0.0 1.9589324324324324 1.885304054054054 0.47727499999999945
0.330259 1.48053 0.0 2.0357190607734807 1.849063535911602 1.0268449999999996
0.334148 1.47976 0.0 2.0324961325966853 1.8383204419889503 0.9457703999999992
0.340365 1.47858 0.0 2.0273439226519336 1.821146408839779 1.0003984999999973
0.34662 1.47746 0.0 2.015564 1.81444 0.9234359999999998
0.361051 1.47512 0.0 1.9662909815950922 1.8440515337423313 0.9197222999999979
0.365015 1.47453 0.0 1.9645886503067485 1.8537791411042945 1.0845849999999981
0.404656 1.46961 0.0 1.954387817258883 1.8731634517766498 1.672908
0.435835 1.46669 0.0 1.8827769491525426 1.8218050847457627 1.7920099999999948
0.467816 1.46429 0.0 1.6265121407624632 1.7366392961876833 2.0083640000000003
0.486133 1.46313 0.0 1.3868065743073048 1.7797707808564232 1.7002350000000013
0.508582 1.46187 0.0 1.0119026196473548 1.9494105793450882 1.9187539999999998
0.546074 1.46008 0.0 0.7118168085106384 2.4050770212765955 1.8883720000000008
0.576959 1.45885 0.0 0.5831024156305507 2.798979218472469 1.851049
0.579065 1.45877 0.0 0.5783891651865007 2.8240417406749563 1.8084250000000017
0.587561 1.45847 0.0 0.559375026642984 2.9251486678507996 1.8420220000000023
0.589262 1.45841 0.0 0.5555681705150978 2.945391474245115 1.64484400000001
0.643847 1.45671 0.0 0.47900608127721334 3.520854088050314 1.623541
0.656272 1.45637 0.0 0.47485840348330915 3.6302566037735846 1.4378720000000045
0.667815 1.45608 0.0 0.47100515239477503 3.7318930817610068 1.5394825
0.706519 1.45515 0.0 0.45808509433962263 4.072683018867925 1.4036074999999997
0.852111 1.45248 0.0 0.4153464610546686 5.329323971940009 0.9895454500000016
0.89435 1.45185 0.0 0.4109529511369134 5.6593480890179 0.9341624999999999
1.01398 1.45025 0.0 0.3985095791001451 6.594047895500726 0.7210519999999997
1.08297 1.44941 0.0 0.3913335510401548 7.133084421867441 0.6138284999999997
1.12866 1.44888 0.0 0.38658108369617805 7.490072085147556 0.5684489999999998
1.3622 1.44621 0.0 0.46349645161290326 9.319861290322581 0.36750000000000005
1.39506 1.44584 0.0 0.4872934516129032 9.57797129032258 0.34874700000000003
1.4695 1.44497 0.0 0.5412024193548387 10.162685483870968 0.31049999999999994
1.52952 1.44427 0.0 0.5846685161290323 10.634132903225806 0.2784440000000002
1.6606 1.44267 0.0 0.679595806451613 11.663745161290324 0.22453
1.681 1.44241 0.0 0.6943693548387098 11.823983870967743 0.20669999999999986
1.6932 1.44226 0.0 0.7032045161290323 11.919812903225807 0.21163999999999994
1.70913 1.44205 0.0 0.7147409193548386 12.044940483870969 0.201474
1.81307 1.44069 0.0 0.7900135967741935 12.86137241935484 0.16659050000000009
1.97009 1.43851 0.0 0.9037264677419353 14.094739193548387 0.1237830000000001
2.0581 1.43722 0.0 0.9674627419354839 14.786043548387099 0.10393999999999988
2.1526 1.43576 0.0 1.0358990322580646 15.528325806451615 0.08902499999999999
2.32542 1.43292 0.0 1.1610541612903225 16.885799032258063 0.06552329999999998
2.4374 1.43095 0.0 1.2421493548387095 17.765383870967742 0.05604700000000003
3.2439 1.41314 0.0 3.2464340020161293 22.92057862903226 0.019424200000000003
3.2668 1.41253 0.0 3.3055931048387093 23.06508870967742 0.018903399999999997
3.3026 1.41155 0.0 3.3980776411290323 23.291004032258066 0.0179758
3.422 1.40819 0.0 3.706531653225807 24.044475806451615 0.015809999999999998
3.507 1.40568 0.0 3.9261178427419354 24.580866935483872 0.014451499999999999
3.5564 1.40418 0.0 4.053736169354838 24.89260483870968 0.0136758
3.7067 1.39936 0.0 4.442016219758065 25.84107056451613 0.01156305
3.846 1.395 4.96e-05 4.801879233870968 26.720120967741938 0.010127899999999997
4.167 1.383 0.000107 5.63114002016129 28.74578629032258 0.007388250000000002
5.556 1.306 0.00563 9.219436693548388 37.51104838709678 0.0023453999999999997
5.882 1.278 0.00594 10.06161431451613 39.56826612903225 0.0018813200000000006
6.25 1.239 0.00652 11.012293346774193 41.89052419354839 0.001487
6.452 1.212 0.00657 11.534133467741935 43.16524193548388 0.0013154400000000002
6.667 1.175 0.00716 12.089557358870966 44.52199596774193 0.0011584400000000004
7.143 1.053 0.0106 13.319240020161292 47.525786290322586 0.0008870160000000002
7.407 0.9488 0.0148 14.001248891129032 49.19175403225806 0.0007708140000000002
7.692 0.7719 0.0372 14.737508467741936 50.99024193548387 0.000666004
7.752 0.7037 0.0474 14.892510483870968 51.36887096774194 0.000646264
7.813 0.6232 0.0767999999999999 15.050095866935484 51.75381048387097 0.0006269960000000001
7.874 0.5456 0.132 15.20768125 52.13875 0.0006084
7.937 0.4677 0.216 15.370433366935487 52.53631048387098 0.000589944
8.0 0.4113 0.323 15.533185483870968 52.93387096774193 0.0005721
8.065 0.3931 0.446 15.701104334677417 53.34405241935483 0.0005545400000000002
8.13 0.402 0.553 15.869023185483872 53.754233870967745 0.0005375599999999999
8.197 0.4329 0.635 16.04210877016129 54.177036290322576 0.000520744
8.265 0.453 0.704 16.217777721774194 54.60614919354839 0.0005043599999999999
8.333 0.46 0.771 16.393446673387096 55.0352620967742 0.000488576
8.403 0.473 0.84 16.57428235887097 55.476995967741935 0.00047305199999999996
8.475 0.4746 0.903 16.760284778225806 55.93135080645161 0.0004577
8.547 0.4656 0.978 16.94628719758065 56.385705645161295 0.00044291200000000006
8.621 0.4563 1.07 17.137456350806453 56.8526814516129 0.0004283679999999999
8.696 0.4309 1.17 17.33120887096774 57.32596774193548 0.000414244
8.772 0.3915 1.32 17.527544758064515 57.80556451612903 0.00040052800000000004
8.85 0.3563 1.53 17.729047379032256 58.297782258064515 0.000387
8.929 0.3705 1.85 17.933133366935483 58.79631048387097 0.0003740019999999999
9.009 0.5846 2.27 18.139802721774196 59.30114919354839 0.00036131399999999995
9.091 1.043 2.55 18.35163881048387 59.818608870967736 0.00034885000000000005
9.174 1.616 2.63 18.56605826612903 60.34237903225806 0.00033679200000000004
9.302 2.25 2.26 18.896729233870968 61.150120967741934 0.00031923600000000014
9.524 2.76 1.65 19.470236693548383 62.55104838709677 0.00029136800000000013
9.756 2.839 0.962 20.069577822580644 64.01508064516129 0.000265464
10.0 2.694 0.509 20.69991935483871 65.55483870967743 0.0002412
10.26 2.448 0.231 21.371594758064514 67.19556451612902 0.00022099800000000003
10.53 2.224 0.102 22.069103830645158 68.89939516129031 0.00020001900000000006
10.81 2.038 0.046 22.792446572580648 70.6663306451613 0.00017826299999999996
11.11 1.869 0.0506 23.567456653225804 72.55947580645162 0.000158187
11.36 1.784 0.0775 24.21329838709677 74.13709677419354 0.00014611200000000003
11.63 1.69 0.116 24.91080745967742 75.84092741935484 0.00013307099999999996
11.76 1.652 0.152 25.24664516129032 76.66129032258064 0.000126792
11.9 1.619 0.204 25.608316532258065 77.54475806451613 0.00012002999999999997
12.05 1.615 0.267 25.995821572580645 78.4913306451613 0.00011360999999999998
12.2 1.658 0.323 26.383326612903225 79.43790322580645 0.00010884000000000002
12.35 1.701 0.341 26.770831653225805 80.3844758064516 0.00010407000000000001
12.5 1.753 0.343 26.9 80.7 9.93e-05
12.66 1.789 0.314 26.9 80.7 9.421199999999998e-05
12.82 1.811 0.275 26.9 80.7 8.912399999999998e-05
12.99 1.81 0.227 26.9 80.7 8.371799999999999e-05
13.16 1.779 0.192 26.9 80.7 7.995999999999999e-05
13.33 1.756 0.177 26.9 80.7 7.6305e-05
13.79 1.698 0.157 26.9 80.7 6.641500000000002e-05
14.29 1.643 0.157 26.9 80.7 5.7550000000000017e-05
14.81 1.598 0.168 26.9 80.7 4.9749999999999996e-05
15.38 1.555 0.182 26.9 80.7 4.2795999999999995e-05
16.0 1.502 0.202 26.9 80.7 3.61e-05
