lambda_um n_glass k_glass n_ag k_ag
0.404656 1.46961 0.0 1.95 1.86
0.435835 1.46669 0.0 1.8827769491525426 1.8218050847457627
0.467816 1.46429 0.0 1.6265121407624632 1.7366392961876833
0.486133 1.46313 0.0 1.3868065743073048 1.7797707808564232
0.508582 1.46187 0.0 1.0119026196473548 1.9494105793450882
0.546074 1.46008 0.0 0.7118168085106384 2.4050770212765955
0.576959 1.45885 0.0 0.5831024156305507 2.798979218472469
0.579065 1.45877 0.0 0.5783891651865007 2.8240417406749563
0.587561 1.45847 0.0 0.559375026642984 2.9251486678507996
0.589262 1.45841 0.0 0.5555681705150978 2.945391474245115
0.643847 1.45671 0.0 0.487 3.31
0.656272 1.45637 0.0 0.487 3.31
0.667815 1.45608 0.0 0.487 3.31
