nm Psi Delta 
400.0000 22.209 119.297 
410.0000 22.042 119.125 
420.0000 21.833 118.697 
430.0000 21.697 118.043 
440.0000 21.580 117.101 
450.0000 21.493 115.569 
460.0000 21.515 113.900 
470.0000 21.720 111.541 
480.0000 22.239 108.922 
490.0000 23.205 106.834 
500.0000 24.444 105.580 
510.0000 26.012 105.994 
520.0000 27.172 106.802 
530.0000 28.116 108.082 
540.0000 28.927 109.288 
550.0000 29.547 110.511 
560.0000 30.117 111.722 
570.0000 30.660 112.853 
580.0000 31.114 113.970 
590.0000 31.533 115.018 
600.0000 31.948 115.975 
610.0000 32.306 116.971 
620.0000 32.660 117.915 
630.0000 33.021 118.803 
640.0000 33.351 119.706 
650.0000 33.644 120.551 
660.0000 33.941 121.353 
670.0000 34.188 122.243 
680.0000 34.441 123.099 
690.0000 34.670 123.884 
700.0000 34.866 124.664 
