wl	n
0.40	1.50818
0.41	1.50670
0.42	1.50539
0.43	1.50426
0.44	1.50342
0.45	1.50227
0.46	1.50114
0.47	1.50056
0.48	1.49955
0.49	1.49873
0.50	1.49795
0.51	1.49722
0.52	1.49639
0.53	1.49594
0.54	1.49521
0.55	1.49463
0.56	1.49405
0.57	1.49370
0.58	1.49324
0.59	1.49270
0.60	1.49216
0.61	1.49177
0.62	1.49143
0.63	1.49086
0.64	1.49055
0.65	1.49037
0.66	1.48993
0.67	1.48990
0.68	1.48941
0.69	1.48913
0.70	1.48875
0.71	1.48840
0.72	1.48830
0.73	1.48788
0.74	1.48741
0.75	1.48695
0.76	1.48675
0.77	1.48662
0.78	1.48597
0.79	1.48609
0.80	1.48555
0.81	1.48561
0.82	1.48579
0.83	1.48583
0.84	1.48539
0.85	1.48565
0.86	1.48567
0.87	1.48541
0.88	1.48508
0.89	1.48506
0.90	1.48487
0.91	1.48469
0.92	1.48449
0.93	1.48446
0.94	1.48425
0.95	1.48411
0.96	1.48409
0.97	1.48394
0.98	1.48364
0.99	1.48353
1.00	1.48358
1.01	1.48352
1.02	1.48359
1.03	1.48108
1.04	1.48059
1.05	1.48115
1.06	1.48085
1.07	1.48067
1.08	1.48092
1.09	1.48092
1.10	1.48058
1.11	1.48070
1.12	1.48047
1.13	1.48000
1.14	1.47956
1.15	1.47957
1.16	1.47943
1.17	1.48002
1.18	1.48007
1.19	1.47950
1.20	1.47939
1.21	1.47892
1.22	1.47874
1.23	1.47896
1.24	1.47850
1.25	1.47838
1.26	1.47879
1.27	1.47935
1.28	1.47872
1.29	1.47804
1.30	1.47796
1.31	1.47809
1.32	1.47829
1.33	1.47720
1.34	1.47761
1.35	1.47742
1.36	1.47763
1.37	1.47835
1.38	1.47751
1.39	1.47728
1.40	1.47705
1.41	1.47756
1.42	1.47769
1.43	1.47776
1.44	1.47706
1.45	1.47707
1.46	1.47673
1.47	1.47719
1.48	1.47798
1.49	1.47746
1.50	1.47689
1.51	1.47638
1.52	1.47612
1.53	1.47613
1.54	1.47646
1.55	1.47707
1.56	1.47674
1.57	1.47632
1.58	1.47620
1.59	1.47595
1.60	1.47591
1.61	1.47603
1.62	1.47613
1.63	1.47543
1.64	1.47573
1.65	1.47555
1.66	1.47525
1.67	1.47507
