wl	n
0.55	0.70
0.60	0.795
0.65	0.90
0.70	1.01
0.72	1.07
0.74	1.13
0.75	1.17
0.76	1.19
0.80	1.32
0.85	1.45
0.90	1.59
0.95	1.72
1.0	1.81
1.1	1.84
1.2	1.87
1.3	1.95
1.4	2.06
1.5	2.19
1.6	2.33
1.7	2.49
1.8	2.64
1.9	2.80
2.0	2.97
2.1	3.13
2.2	3.30
2.4	3.65
2.5	3.81
2.6	4.00
3.0	4.70
3.5	6.00
4	7.27
5	9.77
6	12.4
8	18.4
10	24.8

wl	k
0.55	4.70
0.60	5.02
0.65	5.42
0.70	5.83
0.72	6.00
0.74	6.18
0.75	6.26
0.76	6.31
0.80	6.60
0.85	6.78
0.90	7.18
0.95	7.44
1.0	7.77
1.1	8.38
1.2	9.00
1.3	9.70
1.4	10.35
1.5	11.0
1.6	11.8
1.7	12.5
1.8	13.1
1.9	13.8
2.0	14.5
2.1	15.0
2.2	15.6
2.4	16.9
2.5	17.6
2.6	18.3
3.0	20.9
3.5	23.9
4	26.7
5	32.2
6	37.2
8	45.3
10	51.9
