wl	n
5.00	2.319172
5.01	2.315578
5.02	2.311971
5.03	2.308351
5.04	2.304719
5.05	2.301074
5.06	2.297415
5.07	2.293744
5.08	2.290060
5.09	2.286363
5.10	2.282653
5.11	2.278929
5.12	2.275192
5.13	2.271442
5.14	2.267678
5.15	2.263901
5.16	2.260111
5.17	2.256306
5.18	2.252489
5.19	2.248657
5.20	2.244812
5.21	2.240952
5.22	2.237079
5.23	2.233192
5.24	2.229290
5.25	2.225375
5.26	2.221445
5.27	2.217501
5.28	2.213543
5.29	2.209570
5.30	2.205582
5.31	2.201580
5.32	2.197563
5.33	2.193532
5.34	2.189486
5.35	2.185424
5.36	2.181348
5.37	2.177257
5.38	2.173150
5.39	2.169028
5.40	2.164891
5.41	2.160739
5.42	2.156571
5.43	2.152387
5.44	2.148188
5.45	2.143973
5.46	2.139742
5.47	2.135495
5.48	2.131232
5.49	2.126953
5.50	2.122658
5.51	2.118346
5.52	2.114018
5.53	2.109673
5.54	2.105312
5.55	2.100934
5.56	2.096540
5.57	2.092128
5.58	2.087699
5.59	2.083253
5.60	2.078790
5.61	2.074310
5.62	2.069812
5.63	2.065297
5.64	2.060763
5.65	2.056213
5.66	2.051644
5.67	2.047057
5.68	2.042452
5.69	2.037829
5.70	2.033187
5.71	2.028527
5.72	2.023849
5.73	2.019151
5.74	2.014435
5.75	2.009700
5.76	2.004945
5.77	2.000172
5.78	1.995379
5.79	1.990566
5.80	1.985734
5.81	1.980882
5.82	1.976010
5.83	1.971118
5.84	1.966206
5.85	1.961274
5.86	1.956321
5.87	1.951347
5.88	1.946353
5.89	1.941337
5.90	1.936301
5.91	1.931243
5.92	1.926164
5.93	1.921063
5.94	1.915940
5.95	1.910796
5.96	1.905629
5.97	1.900441
5.98	1.895229
5.99	1.889996
6.00	1.884739
6.01	1.879460
6.02	1.874157
6.03	1.868831
6.04	1.863481
6.05	1.858108
6.06	1.852711
6.07	1.847290
6.08	1.841844
6.09	1.836374
6.10	1.830880
6.11	1.825360
6.12	1.819815
6.13	1.814245
6.14	1.808650
6.15	1.803028
6.16	1.797381
6.17	1.791707
6.18	1.786007
6.19	1.780280
6.20	1.774527
6.21	1.768746
6.22	1.762937
6.23	1.757101
6.24	1.751237
6.25	1.745345
6.26	1.739424
