wl	n
0.4500	2.1227298420465
0.4855	2.081436359743
0.5210	2.0534273001546
0.5565	2.0332943035648
0.5920	2.0181996426042
0.6275	2.0065126246244
0.6630	1.9972307152451
0.6985	1.9897045170482
0.7340	1.9834954846779
0.7695	1.9782972111814
0.8050	1.9738894586936
0.8405	1.9701100830337
0.8760	1.9668372291644
0.9115	1.9639776716603
0.9470	1.9614589646406
0.9825	1.959224027093
1.018	1.9572273276387
1.054	1.9554081495472
1.089	1.953808567333
1.125	1.9523121602566
1.160	1.9509820951062
1.196	1.9497250563303
1.231	1.9485968609162
1.267	1.9475207238602
1.302	1.9465463338008
1.338	1.9456090389139
1.373	1.9447534777276
1.409	1.9439240900218
1.444	1.9431613749566
1.480	1.9424166996066
1.515	1.9417271785777
1.551	1.9410495283789
1.586	1.9404181000173
1.622	1.9397937847612
1.657	1.9392086800561
1.693	1.9386269612777
1.728	1.9380788919028
1.764	1.9375312451535
1.799	1.9370127968681
1.835	1.9364923817342
1.870	1.9359975750275
1.906	1.9354988482828
1.941	1.9350228152999
1.977	1.9345412444387
2.012	1.9340799881313
2.048	1.9336118364415
2.083	1.9331620487571
2.119	1.9327042121272
2.154	1.9322631351862
2.190	1.9318130168278
2.225	1.9313783358032
2.261	1.9309337491044
2.296	1.9305035087597
2.332	1.9300626012463
2.367	1.9296351403183
2.403	1.9291963336203
2.438	1.9287702328024
2.474	1.9283321748736
2.509	1.9279062152567
2.545	1.9274677420612
2.580	1.9270408716907
2.616	1.9266009762643
2.651	1.9261722830435
2.687	1.9257300903458
2.722	1.9252987799426
2.758	1.9248535262901
2.793	1.9244189040144
2.829	1.9239699201617
2.864	1.9235313760165
2.900	1.9230780731629
2.935	1.9226350694471
2.971	1.9221769276023
3.006	1.9217289885788
3.042	1.9212655468431
3.077	1.9208122500856
3.113	1.9203430984916
3.148	1.919884067607
3.184	1.9194088402416
3.219	1.9189437387201
3.255	1.9184621079026
3.290	1.9179906339019
3.326	1.917502305235
3.361	1.9170241871388
3.397	1.9165288952869
3.432	1.9160438879078
3.468	1.9155413929817
3.503	1.9150492743056
3.539	1.9145393587564
3.574	1.9140399271393
3.610	1.913522393081
3.645	1.9130154648292
3.681	1.912490131723
3.716	1.9119755389974
3.752	1.9114422416433
3.787	1.9109198306383
3.823	1.9103784174273
3.858	1.9098480467851
3.894	1.9092983781752
3.929	1.9087599175997
3.965	1.9082018647823
4.000	1.9076551938256
